"Country";"Frequency Range";"Allocations";"Applications"
"- Europe (ECA) -";"526.500 - 1606.500 kHz";"Broadcasting";"Inductive applications/Broadcasting"
"- Europe (ECA) -";"1606.500 - 1625.000 kHz";"Fixed/Land Mobile/Maritime Mobile/Radiolocation";"Radiodetermination applications/Inductive applications/Maritime communications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"1625.000 - 1635.000 kHz";"Radiolocation";"Radiolocation (military)/Inductive applications/Radiodetermination applications"
"- Europe (ECA) -";"1635.000 - 1800.000 kHz";"Fixed/Land Mobile/Maritime Mobile";"Radiodetermination applications/Inductive applications/Maritime communications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"1800.000 - 1810.000 kHz";"Radiolocation";"Radiolocation (military)/Inductive applications/Radiodetermination applications"
"- Europe (ECA) -";"1810.000 - 1850.000 kHz";"Amateur";"Inductive applications/Amateur"
"- Europe (ECA) -";"1850.000 - 2000.000 kHz";"Fixed/Mobile except aeronautical mobile/Amateur";"Amateur/Maritime communications/Inductive applications/Radiodetermination applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"2000.000 - 2025.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Land military systems/Maritime military systems/Radiodetermination applications/Inductive applications/Maritime communications"
"- Europe (ECA) -";"2025.000 - 2045.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Maritime communications/Oceanographic buoys/Inductive applications/Radiodetermination applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"2045.000 - 2160.000 kHz";"Fixed/Land Mobile/Maritime Mobile";"Land military systems/Maritime military systems/Inductive applications/Maritime communications"
"- Europe (ECA) -";"2160.000 - 2170.000 kHz";"Radiolocation";"Inductive applications/Radiodetermination applications/Radiolocation (military)"
"- Europe (ECA) -";"2170.000 - 2173.500 kHz";"Maritime Mobile";"Maritime military systems/Inductive applications/Maritime communications"
"- Europe (ECA) -";"2173.500 - 2190.500 kHz";"Mobile (distress and calling)";"DSC/Inductive applications/Maritime communications"
"- Europe (ECA) -";"2190.500 - 2194.000 kHz";"Maritime Mobile";"Inductive applications/Maritime communications/Maritime military systems"
"- Europe (ECA) -";"2194.000 - 2300.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Land military systems/Maritime military systems/Maritime communications/Inductive applications/Radiodetermination applications"
"- Europe (ECA) -";"2300.000 - 2498.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Inductive applications/Maritime communications/Maritime military systems/Land military systems"
"- Europe (ECA) -";"2498.000 - 2501.000 kHz";"Standard frequency and time signal (2 500 kHz)";"Inductive applications"
"- Europe (ECA) -";"2501.000 - 2502.000 kHz";"Space Research/Standard Frequency and Time Signal";"Inductive applications"
"- Europe (ECA) -";"2502.000 - 2625.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Inductive applications/Radiodetermination applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"2625.000 - 2650.000 kHz";"Maritime Mobile/Maritime Radionavigation";"Maritime military systems/Inductive applications/Maritime communications"
"- Europe (ECA) -";"2650.000 - 2850.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Inductive applications/Radiodetermination applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"2850.000 - 3025.000 kHz";"Aeronautical Mobile-Satellite (R)";"Aeronautical military systems/SAR (communications)/Inductive applications/Aeronautical communications"
"- Europe (ECA) -";"3025.000 - 3155.000 kHz";"Aeronautical Mobile (OR)";"Aeronautical communications/Inductive applications/Aeronautical military systems"
"- Europe (ECA) -";"3155.000 - 3200.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Land military systems/Maritime military systems/Inductive applications/Maritime communications"
"- Europe (ECA) -";"3200.000 - 3230.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Inductive applications/Maritime communications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"3230.000 - 3400.000 kHz";"Fixed/Mobile except aeronautical mobile";"Land military systems/Maritime military systems/Inductive applications/Maritime communications"
"- Europe (ECA) -";"3400.000 - 3500.000 kHz";"Aeronautical Mobile (R)";"Aeronautical communications/Inductive applications/Aeronautical military systems"
"- Europe (ECA) -";"3500.000 - 3800.000 kHz";"Amateur/Fixed/Mobile except aeronautical mobile";"Land military systems/Maritime military systems/Inductive applications/Amateur/Maritime communications"
"- Europe (ECA) -";"3800.000 - 3900.000 kHz";"Aeronautical Mobile (OR)/Fixed/Land Mobile";"Aeronautical communications/Inductive applications/Aeronautical military systems/Land military systems"
